subject,predicate,object
Polydispersity,subClassOf,MatrixandFillerProperties
Abbreviation,subClassOf,MetadataProperty
Abbreviation,subClassOf,SharedMetadataProperties
PSTPopulationDensity,hasQuantity,Quantity
NonSphericalShapeDepth,hasQuantity,Unit
TotalSurfaceArea,subClassOf,MatrixandFillerProperties
CrystalPhase,subClassOf,PhysicalProperty
ConstitutionalUnit,subClassOf,PhysicalProperty
MatrixandPSTProperties,subClassOf,PhysicalProperty
AspectRatio,subClassOf,FillerProperties
FillerProperties,subClassOf,PhysicalProperty
MatrixProperties,subClassOf,PubChemReference
PubChemReference,subClassOf,MatrixandFillerProperties
ChemicalName,subClassOf,SharedMetadataProperties
Viscosity,subClassOf,MatrixandFillerProperties
NonSphericalShapeWidth,subClassOf,MatrixandFillerProperties
MolecularWeight,hasQuantity,Value
CrystalPhase,subClassOf,MatrixandFillerProperties
Manufacturer,subClassOf,MetadataProperty
Density,subClassOf,PhysicalProperty
Density,hasQuantity,Quantity
NonSphericalShapeLength,hasQuantity,Unit
FillerProperties,subClassOf,MatrixandFillerProperties
Additive,hasQuantity,Quantity
SharedPhysicalProperties,subClassOf,SharedProperties
SharedMetadataProperties,subClassOf,SharedProperties
Additive,subClassOf,MatrixandFillerProperties
MatrixProperties,subClassOf,MatrixandPSTProperties
TotalSurfaceArea,hasQuantity,Unit
Density,hasQuantity,Value
MolecularWeight,subClassOf,SharedProperties
MatrixProperties,subClassOf,MolecularWeight
ParticleDiameter,hasQuantity,Unit
Tacticity,subClassOf,MatrixandPSTProperties
PubChemReference,subClassOf,SharedProperties
AspectRatio,subClassOf,MatrixandFillerProperties
SpecificSurfaceArea,hasQuantity,Value
MolecularWeight,hasQuantity,Quantity
Viscosity,hasQuantity,Unit
NonSphericalShapeWidth,hasQuantity,Unit
AspectRatio,hasValue,Value
MatrixandPSTProperties,subClassOf,SharedProperties
ParticleDiameter,subClassOf,FillerProperties
Hardener,subClassOf,MatrixandFillerProperties
PolymerPlasticType,subClassOf,MatrixandPSTProperties
NonSphericalShapeDepth,hasQuantity,Value
NonSphericalShapeLength,subClassOf,PhysicalProperty
ParticleSurfaceTreatment(PST)Properties,subClassOf,ConstitutionalUnit
MetadataProperty,subClassOf,Property
FillerProperties,subClassOf,PubChemReference
SharedMetadataProperties,subClassOf,MetadataProperty
MatrixProperties,subClassOf,ConstitutionalUnit
Manufacturer,subClassOf,SharedMetadataProperties
ComponentCompositionVolumeFraction,hasValue,Value
SpecificSurfaceArea,subClassOf,PhysicalProperty
Viscosity,subClassOf,MatrixandPSTProperties
SpecificSurfaceArea,hasQuantity,Quantity
ParticleDiameter,subClassOf,PhysicalProperty
PubChemReference,subClassOf,MetadataProperty
ParticleSurfaceTreatment(PST)Properties,subClassOf,MatrixandPSTProperties
PolymerType,subClassOf,MatrixandPSTProperties
NonSphericalShapeLength,subClassOf,FillerProperties
ParticleDiameter,hasQuantity,Quantity
MatrixandPSTProperties,subClassOf,SharedMetadataProperties
ParticleSurfaceTreatment(PST)Properties,subClassOf,MolecularWeight
MatrixandPSTProperties,subClassOf,SharedPhysicalProperties
Unit,subClassOf,Quantity
NonSphericalShapeDepth,subClassOf,PhysicalProperty
NonSphericalShapeDepth,hasQuantity,Quantity
ComponentCompositionWeightFraction,subClassOf,PhysicalProperty
Tacticity,subClassOf,MatrixProperties
TotalSurfaceArea,hasQuantity,Value
MatrixProperties,subClassOf,PhysicalProperty
ParticleDiameter,subClassOf,MatrixandFillerProperties
PolymerClass,subClassOf,MatrixandPSTProperties
PSTPopulationDensity,hasQuantity,Unit
ConstitutionalUnit,subClassOf,SharedProperties
SpecificSurfaceArea,subClassOf,FillerProperties
ParticleDiameter,hasQuantity,Value
Density,subClassOf,SharedPhysicalProperties
Tacticity,subClassOf,PhysicalProperty
PolymerPlasticType,subClassOf,MatrixProperties
Viscosity,hasQuantity,Value
NonSphericalShapeWidth,hasQuantity,Value
Polydispersity,subClassOf,MatrixandPSTProperties
ComponentCompositionVolumeFraction,subClassOf,PhysicalProperty
NonSphericalShapeDepth,subClassOf,FillerProperties
NonSphericalShapeLength,hasQuantity,Quantity
PolymerPlasticType,subClassOf,PhysicalProperty
Value,subClassOf,Quantity
Additive,hasQuantity,Unit
NonSphericalShapeLength,subClassOf,MatrixandFillerProperties
PSTPopulationDensity,subClassOf,MatrixandPSTProperties
TotalSurfaceArea,hasQuantity,Quantity
Viscosity,subClassOf,MatrixProperties
PolymerType,subClassOf,MatrixProperties
MatrixandFillerProperties,subClassOf,SharedPhysicalProperties
NonSphericalShapeLength,hasQuantity,Value
TradeName,subClassOf,MetadataProperty
PSTPopulationDensity,subClassOf,PhysicalProperty
TradeName,subClassOf,SharedMetadataProperties
Viscosity,subClassOf,PhysicalProperty
NonSphericalShapeWidth,subClassOf,PhysicalProperty
Viscosity,hasQuantity,Quantity
NonSphericalShapeWidth,hasQuantity,Quantity
ParticleSurfaceTreatment(PST)Properties,subClassOf,PhysicalProperty
PolymerType,subClassOf,PhysicalProperty
MatrixandFillerProperties,subClassOf,SharedProperties
SpecificSurfaceArea,subClassOf,MatrixandFillerProperties
PolymerClass,subClassOf,MatrixProperties
MolecularWeight,hasQuantity,Unit
ComponentCompositionVolumeFraction,subClassOf,SharedPhysicalProperties
Additive,subClassOf,MatrixProperties
TotalSurfaceArea,subClassOf,FillerProperties
Additive,subClassOf,MatrixandPSTProperties
ChemicalName,subClassOf,MetadataProperty
NonSphericalShapeDepth,subClassOf,MatrixandFillerProperties
PolymerType,subClassOf,MatrixandFillerProperties
PSTPopulationDensity,hasQuantity,Value
PolymerClass,subClassOf,PhysicalProperty
Polydispersity,subClassOf,MatrixProperties
Additive,subClassOf,PhysicalProperty
MatrixProperties,subClassOf,MatrixandFillerProperties
ComponentCompositionWeightFraction,hasValue,Value
NonSphericalShapeWidth,subClassOf,FillerProperties
CompressiveCreepRuptureStrength,subClassOf,CompressiveCreep
TensileCreepModulus,subClassOf,TensileCreep
TensileCreepStrain,subClassOf,TensileCreep
CompressiveCreepRuptureStrength,subClassOf,ViscoelasticProperty
TensileCreepCompliance,subClassOf,TensileCreep
TensileCreepModulus,subClassOf,ViscoelasticProperty
CompressiveCreepRuptureTime,subClassOf,CompressiveCreep
TensileCreepStrain,subClassOf,ViscoelasticProperty
TensileCreepCompliance,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureStrain,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureStrain,subClassOf,FlexuralCreep
CompressiveCreepRuptureTime,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureTime,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureTime,subClassOf,FlexuralCreep
TensileCreepRecovery,subClassOf,TensileCreep
TensileCreepRuptureTime,subClassOf,TensileCreep
TensileCreepRecovery,subClassOf,ViscoelasticProperty
TensileCreep,subClassOf,ViscoelasticProperty
ViscoelasticProperty,subClassOf,PhysicalProperty
TensileCreepRuptureTime,subClassOf,ViscoelasticProperty
FlexuralCreep,subClassOf,ViscoelasticProperty
TensileCreepRuptureStrength,subClassOf,TensileCreep
CompressiveCreepStrain,subClassOf,CompressiveCreep
CompressiveCreep,subClassOf,ViscoelasticProperty
CompressiveCreepStrain,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureStrength,subClassOf,ViscoelasticProperty
FlexuralCreepRuptureStrength,subClassOf,FlexuralCreep
TensileCreepRuptureStrength,subClassOf,ViscoelasticProperty
Project,hasMaterial,Material
Project,subClassOf,NodeWithAttributes
Project,hasCollection,Collection
Organization,hasRORID,xsd:anyURI
CreationTime,asDateTime,xsd:dateTime
CreationUser,subClassOf,User
Public,asBoolean,xsd:boolean
NodeWithAttributes,hasUpdateTime,UpdateTime
NodeWithAttributes,hasCreationTime,CreationTime
NodeWithAttributes,subClassOf,Node
ModelVersion,asString,xsd:string
NodeWithAttributes,hasModelVersion,ModelVersion
NodeWithAttributes,hasName,xsd:string
UpdateUser,subClassOf,User
NodeWithAttributes,hasNotes,Notes
NodeWithAttributes,hasResearchGroup,Organization
NodeWithAttributes,isLocked,Locked
NodeWithAttributes,isPublic,Public
Locked,asBoolean,xsd:boolean
UpdateTime,asDateTime,xsd:dateTime
Notes,asString,xsd:string
NodeWithAttributes,hasCreationUser,CreationUser
NodeWithAttributes,hasUpdateUser,UpdateUser
Data,hasSamplePreparation,PhysicalProcess
Data,hasPhysicalProcess,PhysicalProcess
Data,hasComputation,Computation
Data,hasType,Type
Data,hasCitation,Citation
Data,subClassOf,NodeWithAttributes
Data,hasComputationalProcess,ComputationalProcess
Data,hasFile,File
Data,hasExperiment,Experiment
Data,hasMaterial,Material
Collection,hasReference,Reference
Citation,subClassOf,Reference
Citation,hasType,CitationTypes
Description,subClassOf,ACDielectricDispersion
RealPermitivity,subClassOf,ElectricalProperty
RealPermitivity,subClassOf,ACDielectricDispersion
Description,subClassOf,ElectricalProperty
EnergyDensity,subClassOf,ElectricalProperty
ACDielectricDispersion,subClassOf,ElectricalProperty
ElectricalProperty,subClassOf,PhysicalProperty
Conductivity,subClassOf,ElectricalProperty
WebullPlot,subClassOf,ElectricalProperty
PercolationThreshold,subClassOf,ElectricalProperty
VolumeResistivity,subClassOf,ElectricalProperty
LossTangent,subClassOf,ACDielectricDispersion
DCDielectricConstant,subClassOf,ElectricalProperty
LossTangent,subClassOf,ElectricalProperty
DielectricBreakdownStrength,subClassOf,ElectricalProperty
CurrentDensity,subClassOf,ElectricalProperty
LossPermitivity,subClassOf,ElectricalProperty
LossPermitivity,subClassOf,ACDielectricDispersion
SurfaceResistivity,subClassOf,ElectricalProperty
ArcResistance,subClassOf,ElectricalProperty
Impedance,subClassOf,ElectricalProperty
WebullParameter,subClassOf,ElectricalProperty
ComputationalProcess,hasNotes,Notes
ComputationalProcess,hasInputData,Data
ComputationalProcess,hasOutputData,Data
ComputationalProcess,hasSoftwareConfiguration,SoftwareConfiguration
TensileModulus,isMeasuredUnderCondition,Conditions
CompressionStressAtBreak,subClassOf,Compression
ShearModulus,subClassOf,Shear
FiberTensileElongation,subClassOf,Tensile
CompressionStressAtBreak,subClassOf,MechanicalProperty
PlasticElastic,hasSampleShape,SampleShape
StrainRate,subClassOf,FractureCharacteristic
Shear,isMeasuredUnderCondition,Conditions
EssentialWorkOfFracture,hasFractureCharacteristic,FractureCharacteristic
Flexural,isMeasuredUnderCondition,StrainRate
Fracture,hasFractureCharacteristic,PrecrackingProcess
Preload,subClassOf,Condition
Shear,isMeasuredUnderCondition,Preload
IZODImpactEnergy,subClassOf,MechanicalProperty
Notch,subClassOf,MechanicalProperty
JIntegral,subClassOf,MechanicalProperty
PlasticElastic,hasJIntegral,JIntegral
ShearStressAtBreak,subClassOf,MechanicalProperty
TestStandard,subClassOf,MechanicalProperty
CharpyImpactEnergy,subClassOf,Impact
PlasticElastic,subClassOf,Fracture
LinearElastic,hasFractureCharacteristic,FractureCharacteristic
CompressionModulus,subClassOf,Compression
Flexural,isMeasuredUnderCondition,Conditions
FlexuralModulus,subClassOf,MechanicalProperty
FiberTensileModulus,subClassOf,Tensile
CompressionModulus,subClassOf,MechanicalProperty
Flexural,isMeasuredUnderCondition,Preload
FiberTensileStrength,subClassOf,MechanicalProperty
PlasticElastic,hasFractureCharacteristic,FractureCharacteristic
ShearModulus,subClassOf,MechanicalProperty
TensileStressAtYield,subClassOf,MechanicalProperty
HardnessValue,subClassOf,MechanicalProperty
TensileToughness,isMeasuredUnderCondition,Conditions
Shear,isMeasuredUnderCondition,StrainRate
FlexuralStressAtYield,subClassOf,Flexural
Scale,subClassOf,MechanicalProperty
ElongationAtBreak,isMeasuredUnderCondition,Conditions
IZODArea,subClassOf,MechanicalProperty
FlexuralStressAtYield,isMeasuredUnderCondition,Conditions
ImpactToughness,subClassOf,Impact
ElongationAtBreak,subClassOf,MechanicalProperty
PoissonRatio,subClassOf,MechanicalProperty
Compression,subClassOf,MechanicalProperty
CompressionStressAtYield,subClassOf,Compression
Conditions,subClassOf,Condition
CompressionStressAtYield,subClassOf,MechanicalProperty
SampleShape,subClassOf,MechanicalProperty
Tensile,isMeasuredUnderCondition,Conditions
TensileStressAtBreak,isMeasuredUnderCondition,Conditions
ShearStressAtYield,isMeasuredUnderCondition,Conditions
PrecrackingProcess,subClassOf,FractureCharacteristic
Fracture,hasFractureCharacteristic,FractureCharacteristic
TensileStressAtBreak,subClassOf,Tensile
TestStandard,subClassOf,Hardness
StrainRate,subClassOf,Conditions
Compression,isMeasuredUnderCondition,StrainRate
FiberTensileStrength,isMeasuredUnderCondition,Conditions
Tensile,isMeasuredUnderCondition,Preload
KFactor,subClassOf,MechanicalProperty
ShearModulus,isMeasuredUnderCondition,Conditions
TensileStressAtYield,isMeasuredUnderCondition,Conditions
CharpyImpactEnergy,subClassOf,MechanicalProperty
Property,isMeasuredUnderCondition,Condition
PoissonRatio,isMeasuredUnderCondition,Conditions
Preload,subClassOf,Conditions
FlexuralToughness,subClassOf,MechanicalProperty
Compression,isMeasuredUnderCondition,Conditions
HardnessValue,subClassOf,Hardness
ElongationAtYield,subClassOf,MechanicalProperty
Scale,subClassOf,Hardness
StrainRate,subClassOf,MechanicalProperty
ElongationAtBreak,subClassOf,Tensile
TensileModulus,subClassOf,MechanicalProperty
Compression,isMeasuredUnderCondition,Preload
CompressiveTougness,subClassOf,Compression
IZODImpactEnergy,subClassOf,Impact
LinearElastic,hasKFactor,KFactor
Tensile,isMeasuredUnderCondition,StrainRate
CompressiveTougness,subClassOf,MechanicalProperty
Shear,subClassOf,MechanicalProperty
ImpactToughness,subClassOf,MechanicalProperty
ShearStressAtBreak,isMeasuredUnderCondition,Conditions
FlexuralModulus,subClassOf,Flexural
FlexuralModulus,isMeasuredUnderCondition,Conditions
MechanicalProperty,subClassOf,PhysicalProperty
CompressionModulus,isMeasuredUnderCondition,Conditions
Fracture,hasFractureCharacteristic,StrainRate
FlexuralToughness,subClassOf,Flexural
FiberTensileModulus,subClassOf,MechanicalProperty
FlexuralToughness,isMeasuredUnderCondition,Conditions
Flexural,subClassOf,MechanicalProperty
ShearStressAtYield,subClassOf,Shear
ElongationAtYield,isMeasuredUnderCondition,Conditions
FlexuralStressAtBreak,subClassOf,MechanicalProperty
Impact,subClassOf,MechanicalProperty
FiberTensileStrength,subClassOf,Tensile
TensileStressAtYield,subClassOf,Tensile
EssentialWorkOfFracture,subClassOf,Fracture
StrainRate,subClassOf,Condition
TensileToughness,subClassOf,MechanicalProperty
CompressiveTougness,isMeasuredUnderCondition,Conditions
TensileModulus,subClassOf,Tensile
FiberTensileElongation,isMeasuredUnderCondition,Conditions
PoissonRatio,subClassOf,Tensile
CompressionStressAtBreak,isMeasuredUnderCondition,Conditions
FlexuralStressAtYield,subClassOf,MechanicalProperty
FiberTensileElongation,subClassOf,MechanicalProperty
CompressionStressAtYield,isMeasuredUnderCondition,Conditions
Notch,subClassOf,Impact
LinearElastic,subClassOf,Fracture
Tensile,subClassOf,MechanicalProperty
TensileStressAtBreak,subClassOf,MechanicalProperty
Hardness,subClassOf,MechanicalProperty
PrecrackingProcess,subClassOf,Process
ShearStressAtYield,subClassOf,MechanicalProperty
FlexuralStressAtBreak,isMeasuredUnderCondition,Conditions
FlexuralStressAtBreak,subClassOf,Flexural
FiberTensileModulus,isMeasuredUnderCondition,Conditions
ShearStressAtBreak,subClassOf,Shear
IZODArea,subClassOf,Impact
LinearElastic,hasSampleShape,SampleShape
ElongationAtYield,subClassOf,Tensile
TensileToughness,subClassOf,Tensile
